"scenario","region","Units","agg_tech","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Eastern","GW","Oil w/o CCS",1.54293244818573,1.16722214854472,0.90213351013765,0.309293953749688,0.348821142130013,0.507286537547322,0.289868423247981,0.107726519917858,0.0299590757394893,0.0383999239272192,0.0104209120565654,0,0,0,0,0,0
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Eastern","GW","Gas w/o CCS",0.087052201335422,0.0537194590599347,0.0565460313316098,0.0381081240558767,0.034137321706362,0.0388467044510493,0.0399765989143044,0.0325751469729667,0.0249271302091559,0.00704891735872953,0,0,0,0,0,0,0
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Eastern","GW","Gas w/ CCS",NA,0.0371933346314797,0.0619603509184166,0.151323685750181,0.323393590124265,0.596929612666788,0.906163670816255,1.41110979628363,2.00438291319661,2.77435551258859,3.34009584551835,3.71645282673014,3.932349223085,4.31621365610391,5.4467871285964,7.09195923480852,9.06922339481246
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Eastern","GW","Coal w/o CCS",0.136278277782345,0.11002130906823,0.101655320704627,0.0479738683718616,0.0153706240610027,0.00560466610037414,0,0,0,0,0,0,0,0,0,0,0
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Eastern","GW","Coal w/ CCS",NA,0.00191447710706177,0.00475604587201894,0.0288289288662899,0.105016723035561,0.234375644689023,0.384599688758974,0.599542510230395,0.806041421956984,1.02802078579832,1.09812108154821,1.05676362103345,0.895146256423879,0.81785101643783,1.38326187483822,1.76210485736795,2.30040968561443
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Eastern","GW","Biomass w/o CCS",0.0866312524941714,0.110114654535297,0.156793799042452,0.200020423830816,0.117524988575904,0.0579501760357057,0.0202575192006302,0,0,0,0,0,0,0,0,0,0
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Eastern","GW","Biomass w/ CCS",NA,0.00990880761249475,0.0248180249847871,0.149711289318668,0.584172839981283,1.35901614325993,2.38673378699068,4.21486419345717,6.33263718421431,9.25042931645796,11.1309190511245,11.2321417190435,10.9437012497037,10.5567189051731,12.3748531262263,12.5221332188435,12.2358409611431
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Eastern","GW","Nuclear",0.0273584690026636,0.2235731391664,0.480451219097366,1.13206090836943,2.11117117361238,3.60797647069742,5.07719761173412,6.85212913832459,8.83520145514866,11.4582501398814,13.7340635894725,14.9446003702763,15.6664452398571,16.1929679652769,16.477423026035,18.5559246297469,19.902547733874
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Eastern","GW","Wind",2.49644039131879,4.16067734313813,6.37634039666105,10.4615367768057,16.3954276476405,24.1314249827456,29.8189128629634,38.9287900973978,48.5153429149277,60.8558258835848,70.5559650413733,75.8951581620084,77.9055123433403,78.6844633840446,78.9979986157397,87.8313300908578,92.8827932220067
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Eastern","GW","Solar",3.30768480920134,5.72900159260283,8.94742651812925,14.4550971276683,23.3219230645264,35.5530640983221,45.2878128135197,62.2619137411971,80.9592252931374,105.957958157988,129.25953806776,143.790460066641,151.876221216445,157.944354987812,160.505416264114,181.445047754951,194.222114522277
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Eastern","GW","Geothermal",0.34480840266606,0.414143976880162,0.465148472664807,0.637946756246306,0.402149219556175,0.261366198980162,0.235604106958876,0.218519223355378,0.177166131265246,0.171030427443888,0.112154433823305,0.0934612295691038,0.0820288277898466,0.0821535529717492,0.0816136409131404,0.0826217656673152,0.0660870469551752
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Eastern","GW","Rooftop_pv",0.44035332893123,1.25684165261468,2.93968678325581,6.72554085871219,13.7218624382071,24.5883538550877,40.4961596949358,60.5130674647115,78.7671828596833,85.8340745308089,88.8728334573439,91.6133203224989,93.7907288308172,95.8156322716078,97.7193626874627,99.5137117073147,101.212043177287
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Northern","GW","Oil w/o CCS",4.01241158884875,3.23863297480567,2.29360208498169,0.706809771658055,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Northern","GW","Gas w/o CCS",5.04797939080831,2.44710496789764,2.21620333242029,1.70483593116958,1.02757558204389,0.472068896429227,0.161502596601581,0,0,0,0,0,0,0,0,0,0
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Northern","GW","Gas w/ CCS",NA,3.40939997418871,5.16262367231884,11.1357999676859,15.3673139550894,15.5596810119404,13.7594198010887,13.3692974009796,13.3748212467476,14.0980851362151,14.0010349395367,12.3424804290774,12.539726037429,11.8517234366757,12.9483780544987,13.6434578844561,14.2651176547404
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Northern","GW","Coal w/o CCS",0.357760654776315,0.320897472939665,0.269547562338851,0.0759529268745624,0.0308655980713693,0,0,0,0,0,0,0,0,0,0,0,0
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Northern","GW","Coal w/ CCS",NA,0.00485409532351798,0.0129563475179754,0.0885859534257648,0.229323463844037,0.307615951064205,0.311640508715827,0.328903895811068,0.345934250023069,0.371169792756347,0.353178696455171,0.291614333852013,0.285544178627725,0.236132587945755,0.463780373595276,0.519245687883687,0.633537745464973
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Northern","GW","Biomass w/o CCS",0.066559219022418,0.114366228836606,0.178911619590185,0.24482174336706,0.0928968751675816,0.019482512065307,0,0,0,0,0,0,0,0,0,0,0
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Northern","GW","Biomass w/ CCS",NA,0.00821477061420604,0.0235024275432744,0.166622157187234,0.507410920768651,0.765118556249723,0.910006186678888,1.18025606110514,1.49169243565667,2.02070159918386,2.43055690113249,2.344453626468,2.58249748232665,2.54702742359319,2.95774136147119,2.61806962238835,2.34490495692729
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Northern","GW","Nuclear",0.0239292833073784,0.246052465809334,0.565887735105171,1.37682766225767,2.04320468059054,2.35771699586836,2.47386278454857,2.65204803153423,2.91635465310257,3.42840994411485,3.91573783044811,3.8250392301867,4.21654776818523,4.34532243498311,4.25231537947998,4.55344017255024,4.63431479703007
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Northern","GW","Wind",2.04827582342291,4.04823835740025,6.37268577441108,10.4702829264782,13.0053981852554,13.07927115255,12.3249511100228,13.192247300201,14.5661925334826,17.2958882551783,19.8764378046271,18.4261545849564,20.319880053106,20.7647592558438,20.2709268099896,21.6626745880797,21.9953937530766
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Northern","GW","Solar",2.85563627808055,6.2482723314845,10.4850675372233,17.5583219626014,22.5594739092814,23.2193090440842,22.0340431355427,24.028042749119,26.6984434949498,31.7721794467494,37.0300961330425,37.0708132023855,41.2728673266627,42.8912681873942,42.0094827844003,45.2471751831433,46.0508394479461
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Northern","GW","Geothermal",0.328373358400136,0.489387754774508,0.562665138000163,0.750133886388483,0.273631652228602,0.11210116137273,0.225952703264363,0.307420796232182,0.329848779789219,0.416115973612108,0.314957156799686,0.257545873705106,0.228730481044363,0.217799763407793,0.219150952878404,0.241634957067991,0.240411311427461
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Northern","GW","Rooftop_pv",0.494639167494234,1.59768266635551,3.50045700488339,8.27243298000302,14.5021244935644,22.7094628002362,34.2199710046665,49.1111697105268,65.8420398518387,82.0054818080279,93.3229241002485,99.2665476109473,101.881764589408,103.457186959789,104.531950716094,105.520819380155,106.427414352436
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Southern","GW","Oil w/o CCS",3.28551496965023,2.48351560413711,2.55449831582878,1.57987734032738,2.86179007600537,2.66797684279454,1.30589130733892,0.00754319993440772,0,0,0,0,0,0,0,0,0
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Southern","GW","Gas w/o CCS",0.833358692507198,0.443611447216739,0.508246336992982,0.265515116456779,0.36331277821765,0.438369893208905,0.460489786084809,0.390392231786334,0.269904087421582,0.0597388605843954,0,0,0,0,0,0,0
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Southern","GW","Gas w/ CCS",NA,0.483460648534917,0.792793078386644,1.56714235443738,3.97546768297489,6.94605209681762,9.80556499706312,12.9664711068978,15.1566782528661,17.1805542612711,17.8327725202911,17.6630644484278,16.9161850877339,16.9842354905027,18.7158719549778,19.8127180206701,21.4536640836267
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Southern","GW","Coal w/o CCS",1.46173333301049,1.18580723665686,1.19971669961602,0.464795686720957,0.205400970483956,0.106510614938075,0,0,0,0,0,0,0,0,0,0,0
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Southern","GW","Coal w/ CCS",NA,0.0206052249974583,0.0529127109124469,0.285126482660876,1.28716516148128,2.81785970227966,4.43137550297432,5.94623661926105,6.71382180823128,7.13655303637261,6.63576350178882,5.56442024639725,4.22046201504557,3.5440999838094,5.72495426320503,5.3211690650129,6.25362364148184
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Southern","GW","Biomass w/o CCS",0.0113282735787645,0.0176296910814553,0.031779772932018,0.0418607003862134,0.0457044338349116,0.0229518276914969,0.0134446981335361,0,0,0,0,0,0,0,0,0,0
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Southern","GW","Biomass w/ CCS",NA,0.00164713241721215,0.00503961088991001,0.0297503612589526,0.160426620941716,0.41046077034704,0.783332413098314,1.35024309344009,1.93275039230643,2.71922436267048,3.28372677299399,3.48491745405978,3.54567469114327,3.69067497567279,4.37169013249558,3.78032702401055,3.30466909697477
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Southern","GW","Nuclear",0.00470915638236815,0.0421121818787768,0.108117703311028,0.250178314930398,0.668421310571943,1.29479606831697,2.02615656272922,2.82898728945525,3.60039136830396,4.55963727146157,5.55824370018762,6.30462944652857,6.81613657952698,7.32509104819617,7.50025333200505,8.0528630835605,8.33471482993853
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Southern","GW","Wind",0.41841924371561,0.82639709886282,1.63091091792912,2.65045120897155,6.29908159550847,11.0084622952942,15.6183079545057,21.7014233172465,27.4994649486208,34.5382655254978,41.429167404472,53.0294232060742,56.4539327640312,59.1200368776322,59.3976889909009,62.6207826477628,63.6011906948481
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Southern","GW","Solar",0.54079369600265,1.02573084402524,1.91359681794395,3.03314497975734,6.98045569707855,11.9835551569629,16.8282167910156,23.7638429714506,30.5101230016613,39.0739378907643,48.5395189167282,56.3287485572467,61.405510838281,66.4326814731835,67.9610886767164,73.2778416003048,75.7200788585692
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Southern","GW","Geothermal",0.0826621780355756,0.135895167536418,0.212131461920649,0.330224893155549,0.60843103521249,0.789033169073642,0.389154476324628,0.119761965257318,0.148230946056913,0.183999239112192,0.268876487052014,0.288146527655964,0.182840422379769,0.161791462444107,0.152461384641953,0.151568577831385,0.144196403520284
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Southern","GW","Rooftop_pv",0.158397189536631,0.546217642206924,1.36827441692742,4.02419706853059,8.17093304494237,14.0951966916692,22.3903948687773,33.7711614137581,45.175404609009,49.1444545657283,50.6444283874071,51.8372493680501,53.0177566154631,54.1235758921633,55.1595406261477,56.146940916926,57.1006222933455
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Western","GW","Oil w/o CCS",3.17068075581198,4.02107022734913,4.03345607210789,2.61909489271515,2.3727064512968,2.20757267314816,1.44147305156056,0.238998567654714,0,0,0,0,0,0,0,0,0
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Western","GW","Gas w/o CCS",2.08370291542379,1.53875408852993,1.91262473712639,1.24034424249405,1.2897864784843,1.39901173001168,1.4562014922713,1.23531856763105,0.860798787136247,0.21375682411824,0,0,0,0,0,0,0
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Western","GW","Gas w/ CCS",NA,1.92721611962904,3.29911728130495,7.49402588118548,14.1813558427758,21.9809245958445,30.4634473544063,38.2984870771888,46.0423131868846,55.3481497779163,62.5039574320427,64.8932522081805,66.0588534267689,74.1286902863451,75.6994705070334,82.3466951128079,87.6717997593815
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Western","GW","Coal w/o CCS",0.110314658219388,0.141182936700823,0.163392758780026,0.0911246624568792,0.0260758141697698,0.00916495038150751,0,0,0,0,0,0,0,0,0,0,0
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Western","GW","Coal w/ CCS",NA,0.00243839540720186,0.00664985612213876,0.0478837495626601,0.174956499458205,0.369253337751009,0.622739868823281,0.85894196463312,1.0987349502226,1.37106498516268,1.5496433766678,1.62491858997637,1.66893754136876,2.50767483513336,2.93093664221664,3.64802047951659,4.54758066542142
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Western","GW","Biomass w/o CCS",0.0659713265666398,0.121493510734897,0.195507535801943,0.255950973695375,0.165733849402889,0.0713614758308081,0.0306090381079474,0,0,0,0,0,0,0,0,0,0
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Western","GW","Biomass w/ CCS",NA,0.0106157435005241,0.0286183667307841,0.187364758586562,0.72774855428926,1.61580614581095,2.9754633314049,4.79863877717359,7.01867241140421,10.2639887663905,13.3972797776788,14.8783028129498,16.5598793785205,20.3991990568184,22.7755134417215,22.9912992082078,22.450127789769
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Western","GW","Nuclear",0.00972415159467824,0.129856742310323,0.359353437628934,0.95551672944134,1.94984955621347,3.4130097904862,5.33757963108104,7.4011937030713,9.96741569480803,13.8599437755335,18.9855628601205,22.6361804327321,26.2852735708337,27.9254931800719,28.5342035433189,31.9156794606754,33.431487145523
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Western","GW","Wind",0.840777785911527,2.20978312544348,4.22128342922834,7.44861204971094,12.4676812034561,18.3965486836521,24.6970661178864,32.6135024285739,42.1385774205256,56.2414104219293,73.5674262683027,82.0803023159403,91.7968727418351,93.9458173670658,93.5459102577836,102.247888582709,105.174786322836
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Western","GW","Solar",1.09844256448017,3.09660853345327,6.19712747104667,11.2366195212585,19.70892237968,30.5178837929196,42.7556081194155,59.9399067159754,81.4346202107889,114.520723015178,159.875794705302,194.997293307618,228.326986970771,244.21541992543,249.310836821625,280.057053189507,292.888670802991
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Western","GW","Geothermal",0.174124774647446,0.405214323284879,0.63264583031614,1.01451931559824,1.39118034526989,1.37372604258948,0.165988077251004,0.298310220656935,0.362033161685421,0.442028863310949,0.442089464246788,0.327315872069734,0.207740712720452,0.180126416514809,0.169232693635584,0.174356996024259,0.155443866745924
"NDC_Fulltech_land10p_CI_HADGEM","Africa_Western","GW","Rooftop_pv",0.363719710256313,1.18362199219584,2.96235846745295,7.96423183016831,16.8535791042633,31.5438958507353,54.098597982806,89.9094398719605,135.78490537613,171.255082416678,183.369027067204,190.970524437614,195.535132038205,199.568863488193,203.358020991071,206.924627793259,210.280275077086
