"scenario","region","Units","agg_tech","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"NDC_Fulltech_land10p_NoCI_HADGEM","Africa_Eastern","GW","Oil w/o CCS",1.54437953387048,1.16984175042106,0.882765169178472,0.343157773277182,0.39462873461003,0.526744412036879,0.315750626987312,0.0849332975878678,0.0303037425258098,0.0329603515946973,0.0149795453308722,0,0,0,0,0,0
"NDC_Fulltech_land10p_NoCI_HADGEM","Africa_Eastern","GW","Gas w/o CCS",0.0869440822063103,0.0536175724904423,0.0554220654196697,0.0380279673208393,0.034428140416118,0.0391741845301008,0.0399300910203942,0.033364829428011,0.0229890393609167,0.00524290536725278,0,0,0,0,0,0,0
"NDC_Fulltech_land10p_NoCI_HADGEM","Africa_Eastern","GW","Gas w/ CCS",NA,0.0373565251123307,0.0628869268958194,0.150717014009462,0.328564390959199,0.601729254349978,0.928483380848063,1.42929199283547,2.03708907443535,2.77005044060391,3.39926082764965,3.77172128980074,3.95677614788891,4.40595415116555,5.57384208176755,7.17342331560683,9.03439740226811
"NDC_Fulltech_land10p_NoCI_HADGEM","Africa_Eastern","GW","Coal w/o CCS",0.135567269634225,0.109723921115475,0.0993874445407419,0.0475689886542399,0.0154962424020469,0.00592224363106961,0,0,0,0,0,0,0,0,0,0,0
"NDC_Fulltech_land10p_NoCI_HADGEM","Africa_Eastern","GW","Coal w/ CCS",NA,0.00193420337229825,0.00497130779507294,0.0289298972041434,0.10746413512212,0.237006899051224,0.394961995733905,0.608031024554157,0.818461311933942,1.02493283274219,1.11272230397237,1.05915705639495,0.893636684623775,0.81709451632624,1.40792402525749,1.75356525579466,2.31554842032656
"NDC_Fulltech_land10p_NoCI_HADGEM","Africa_Eastern","GW","Biomass w/o CCS",0.0865699593314997,0.109973775157367,0.156477858529769,0.197167272807852,0.116889746545746,0.0590082802666384,0.0180914510545543,0,0,0,0,0,0,0,0,0,0
"NDC_Fulltech_land10p_NoCI_HADGEM","Africa_Eastern","GW","Biomass w/ CCS",NA,0.00998055241587682,0.0256493336485673,0.149141099064123,0.591751862117983,1.36616412356174,2.42798589868598,4.1999984823392,6.43398887274855,9.3628354871102,11.4078778535646,11.660384376704,10.9795706646587,10.8642737509318,12.8281817299638,12.4309423705895,12.4530449401263
"NDC_Fulltech_land10p_NoCI_HADGEM","Africa_Eastern","GW","Nuclear",0.027398863402042,0.224118882303428,0.483776700736534,1.12644381573006,2.14179901236793,3.63130079283119,5.1875012489355,6.94012494600816,8.98835964731978,11.468624645217,14.0362984535736,15.2699422799593,15.8510887014457,16.640645266709,16.9213088499991,18.8996217719126,19.8341074539275
"NDC_Fulltech_land10p_NoCI_HADGEM","Africa_Eastern","GW","Wind",2.49974063455418,4.1698825092302,6.41943689518837,10.04344783237,16.0207466105424,23.3697501828406,29.2660339864653,37.6737193275992,47.0548281332657,58.0381562525964,68.6091824645331,73.0756260470599,74.2778561790391,76.1609421775014,76.3991666531747,84.2264023862995,87.3140501190947
"NDC_Fulltech_land10p_NoCI_HADGEM","Africa_Eastern","GW","Solar",3.31197769618287,5.74086194388347,9.00730453135066,14.3333495581334,23.6970998220393,36.0270214154086,46.7477625201038,63.6628205571199,83.2176110365379,107.213061612,133.65927595354,147.421097409589,154.167608641465,162.731341878288,165.248003074797,185.209578391173,194.260416173604
