"scenario","region","Units","agg_tech","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"NDC_NoCCS_NonewNuc_land10p_CI_HADGEM","Africa_Eastern","GW","Oil w/o CCS",1.52731369686754,1.13530531024659,0.802283478721034,0.0763568061016143,0.114221282211531,0.149357261288794,0,0,0.00314695437026161,0,0,0,0,0,0,0,6.32390114978261e-05
"NDC_NoCCS_NonewNuc_land10p_CI_HADGEM","Africa_Eastern","GW","Gas w/o CCS",0.0867327316161525,0.1041451542442,0.127756698259493,0.151190101046691,0.192750111161788,0.257145657829497,0.277696426864351,0.197811821419478,0.00142056324165338,0,0,0,0,0,0,0,0
"NDC_NoCCS_NonewNuc_land10p_CI_HADGEM","Africa_Eastern","GW","Gas w/ CCS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30670503656033e-08,4.46722396983456e-08,1.61488973049029e-07,4.89197306644529e-07,1.40985223349724e-06,7.01698456294489e-06,0.000502374627811844
"NDC_NoCCS_NonewNuc_land10p_CI_HADGEM","Africa_Eastern","GW","Coal w/o CCS",0.134687528086978,0.110216552786117,0.0995001723850139,0.0444106026707987,0.0262878781602997,0.0116436743021866,0,0,0.00012815299588512,8.17364758391084e-05,0,0,0,0,0,0.000463238899593142,0.00315911179249841
"NDC_NoCCS_NonewNuc_land10p_CI_HADGEM","Africa_Eastern","GW","Coal w/ CCS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.41619894996787e-08,1.91036831076219e-07,2.4357757820095e-05
"NDC_NoCCS_NonewNuc_land10p_CI_HADGEM","Africa_Eastern","GW","Biomass w/o CCS",0.0868244322776548,0.130384431902141,0.200470383680984,0.379068190578794,0.509050654235172,0.586561227181205,0.611732618067429,0.56056055927291,0.440774553412428,0.157266168869471,0.00727314218972784,0.00137096009432355,0,0,0,0,0
"NDC_NoCCS_NonewNuc_land10p_CI_HADGEM","Africa_Eastern","GW","Biomass w/ CCS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0652785713748e-08,3.77285879931458e-08,2.05421073559448e-07,5.4733957453806e-05
"NDC_NoCCS_NonewNuc_land10p_CI_HADGEM","Africa_Eastern","GW","Nuclear",0.027412342177632,0.226777903389044,0.492510727816637,1.22423510794709,2.34898520115761,4.00098744365685,5.87611708711817,8.409425393587,11.4591588576086,14.7648591424703,18.0154165190067,19.9221425782298,20.4301085998324,21.3860866722191,22.1736866147145,23.2885259121423,30.4782486118875
"NDC_NoCCS_NonewNuc_land10p_CI_HADGEM","Africa_Eastern","GW","Wind",2.50109119190149,4.21726598510897,6.52610621064065,11.2617011087796,18.1204571204742,26.609184296215,34.3945845546294,47.2121366808592,62.151041250067,77.8866655351956,91.9886610250339,99.7972998977863,100.882194472922,104.22687804918,107.19578193731,112.297449130337,144.780344521471
"NDC_NoCCS_NonewNuc_land10p_CI_HADGEM","Africa_Eastern","GW","Solar",3.31404559857517,5.8036298567116,9.14933265998962,15.5126486482468,25.6353310364146,38.8571142271253,51.5610865029933,74.1245678577258,101.080570602131,130.462767556507,159.67959858955,177.847823316661,183.003715195106,193.5681005477,200.853390928075,212.870084883365,276.439036782023
