"scenario","region","Units","agg_tech","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Eastern","GW","Oil w/o CCS",1.50436625303147,1.13418241055309,0.807081729836581,0.108345644280427,0.102472990800336,0.126571649308886,0,0,0,0,0,0,0,0,0,0,6.25388575065887e-05
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Eastern","GW","Gas w/o CCS",0.0849453788787272,0.102519063356107,0.125852689277571,0.153204181175216,0.192453934219979,0.253699313779227,0.269464068171521,0.196463591011321,0,0,0,0,0,0,0,0,0
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Eastern","GW","Gas w/ CCS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.37601075072029e-08,4.49083983743336e-08,1.57516092845445e-07,4.94958262382268e-07,1.54251569758104e-06,7.84762335736892e-06,0.00056750146703188
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Eastern","GW","Coal w/o CCS",0.130709180275875,0.107858440113744,0.0968348948848962,0.0451642008001508,0.0259205709555411,0.010707807355725,0,0,3.55513540365587e-05,1.8686378281058e-05,3.18029434868829e-05,0,0,0,0,0.000448672115290146,0.00310813730693269
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Eastern","GW","Coal w/ CCS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75883514379854e-08,2.15463280233253e-07,2.67233479412163e-05
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Eastern","GW","Biomass w/o CCS",0.0850125757984544,0.127605596740473,0.197139703475302,0.371679239430211,0.484114059110095,0.555578826370762,0.577403981159986,0.563139717664452,0.42353137184795,0.216792921433358,0.0080773809315298,0.00102281840676701,0,0,0,0,0
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Eastern","GW","Biomass w/ CCS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08172406225554e-08,4.15698329226521e-08,2.43851972823935e-07,6.59802143083875e-05
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Eastern","GW","Nuclear",0.0270003805391041,0.223894195173196,0.489136172808018,1.24060152165317,2.36541044286984,3.98588498472656,5.9292413652344,8.21929980151879,11.5492471694514,14.4242103048902,18.2099592192159,19.7623908816282,20.6433685847119,21.6876796092803,22.8168902181661,23.613938765086,31.0693919103197
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Eastern","GW","Wind",2.41909069567091,4.0754603548287,6.3239948979174,11.6841908127616,18.5717331601703,26.8664187921978,34.9760274252411,46.4590543019477,62.877182430103,76.2277472481371,92.6362962211828,96.4663914282341,99.014748863048,102.313527852167,106.528617239847,109.763678199847,142.074221545002
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Eastern","GW","Solar",3.2663936795292,5.7350750429642,9.09590848679211,15.4850345348241,25.4828459292679,38.3011422296168,51.470292869858,72.16102317157,101.788465438682,127.489863325274,161.32244251164,174.557521774883,182.91527902569,193.820917063442,203.900753376892,212.743185549809,277.65945321906
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Eastern","GW","Geothermal",0.342573214660439,0.416774832623853,0.47357623071879,0.683244898793397,0.354994997183483,0.246975943035396,0.223023070813742,0.200955874223564,0.156686890592681,0.14041634968108,0.0853489487125092,0.0621608462079112,0.0549688539816269,0.0527956057697295,0.0498937722367694,0.0437372808850941,0.0381111181882207
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Eastern","GW","Rooftop_pv",0.450651351532333,1.28670254912104,3.057951206388,7.21764483949773,15.0110805348338,27.1339980897857,45.2567210480804,66.960393261352,82.7888021330541,87.9140055732848,90.705027991008,93.1372479854975,95.2817522340326,97.2998052999194,99.2115091029574,101.015291425955,102.714296703296
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Northern","GW","Oil w/o CCS",4.00768496455751,3.41734563200537,1.75374324908258,0.479116304439162,0,0,0,0,0,0,0,0,0,0,0,0,7.70145001171037e-05
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Northern","GW","Gas w/o CCS",5.05198582976457,7.17647852142447,7.0587943900294,7.38308749508783,8.15492808125459,7.35335154436718,5.38182667485191,1.78818683552492,0,0,0,0,0,0,0,0,0
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Northern","GW","Gas w/ CCS",NA,NA,NA,NA,NA,NA,NA,5.08046360122317e-09,1.80499270819184e-08,6.82820824366652e-08,1.98566519374987e-07,3.93962891931101e-07,9.19431563076996e-07,2.33608891612559e-06,6.64768756873773e-06,3.11471334597224e-05,0.00166529482312321
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Northern","GW","Coal w/o CCS",0.35188248006185,0.349341217692998,0.248016951646991,0.0841930968456396,0.0525748946070016,0,0,0,0,0,0,0,0,0,0,0.000509628912799144,0.00147124479009237
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Northern","GW","Coal w/ CCS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.97478278950474e-08,1.17954718511411e-07,1.25363116855745e-05
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Northern","GW","Biomass w/o CCS",0.0673041790313704,0.142054152510904,0.220157653800742,0.417845184036562,0.460781130057944,0.393141126096066,0.351912675804555,0.353947397701981,0.343112504634586,0.13766450179075,0,0,0,0,0,0,0
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Northern","GW","Biomass w/ CCS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.32386796388527e-09,1.57126379501652e-08,1.02299787719498e-07,2.4686946264191e-05
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Northern","GW","Nuclear",0.0242533182729682,0.270848381607963,0.582642037080353,1.37570138893246,2.24196620761126,3.03626118048301,4.01544815276983,5.33425054897116,7.85927434954239,9.76187321056895,9.99086063359165,8.68119104611007,7.86816253624267,7.85559654216587,8.85067089220653,9.94413337405543,11.6364227364217
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Northern","GW","Wind",2.07246380242702,4.42247431860647,6.52250653075941,9.75234569794046,13.3031581390305,15.6259137551908,18.3869554407557,23.8616093077218,34.4679430968152,42.2744090634331,42.8523709253604,36.7678893589024,33.7473639419222,34.0912624775387,38.9675792722753,44.4669333982801,52.2614506145881
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Northern","GW","Solar",2.89655258276467,6.87766099236522,10.7863849702994,17.1684042864308,24.1804464057021,29.2121444015841,34.8077750128443,46.3805454977974,68.7661435275657,86.801420199122,87.6751644826428,75.309863907609,69.4650967646062,71.1840585198569,81.0209817799835,91.818463466602,106.383827282838
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Northern","GW","Geothermal",0.33200694823336,0.525023007635758,0.56497886059066,0.7425141995342,0.239680224556139,0.112860082394815,0.227085095170112,0.308408732418777,0.27927130920363,0.272258512535299,0.157538122342615,0.130742291101832,0.140361985004335,0.163315646446679,0.19070832643928,0.179677194461347,0.141188095552378
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Northern","GW","Rooftop_pv",0.489097293097453,1.39212292254681,3.28645487124418,10.0932052317858,22.0199255182353,38.4186453357867,59.7734780251496,81.0552036926559,93.6195394319611,97.6311457953893,99.4782863692968,100.894027612991,102.041785222388,103.039481050079,103.957053392515,104.782619529426,105.564842029539
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Southern","GW","Oil w/o CCS",3.23737204425283,2.52610689269858,2.32030546041714,1.08092525528919,2.59315404451342,2.61915122422801,1.46792088337806,0.128722356625496,0,0,0,0,0,0,0,0,5.78461411627787e-05
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Southern","GW","Gas w/o CCS",0.823646955492982,1.04153509984239,1.31846784919098,1.23519840006335,2.20794062448138,3.16559267719747,4.02701443304225,4.52557301821442,2.65978258487173,0,0,0,0,0,0,0,0
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Southern","GW","Gas w/ CCS",NA,NA,NA,NA,NA,NA,NA,NA,1.10449565664209e-08,4.05506009329986e-08,1.55524162985911e-07,3.76343583824667e-07,9.94081249209775e-07,2.74171344080321e-06,7.63799745347214e-06,3.45387969581232e-05,0.00215826317714518
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Southern","GW","Coal w/o CCS",1.42235656096121,1.22678596175082,1.14688822343445,0.362189510130979,0.360007134991202,0.362010995659979,0.132064707899919,0,0,0,0,0,0,0,0,0,0.00283673467952899
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Southern","GW","Coal w/ CCS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.37781028221681e-08,7.89775178206655e-08,2.45098062727788e-07,1.26120227777203e-06,0.000128979975369546
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Southern","GW","Biomass w/o CCS",0.0111675534306071,0.0214188590428611,0.039551615785439,0.0681535111212402,0.148633328439295,0.243887576228663,0.363853136086401,0.533306037015082,0.543082022954946,0.285630015132106,0,0,0,0,0,0,0
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Southern","GW","Biomass w/ CCS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.50539859888956e-09,3.00432046156124e-08,2.05287687252003e-07,4.74393413043286e-05
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Southern","GW","Nuclear",0.00471377896538103,0.0444173995507264,0.110664704271406,0.24389283519145,0.691886874108952,1.47306707795843,2.73698588076223,4.8223222489816,7.67735917203343,9.87606288066707,12.2443561442309,12.869554123408,13.0732284301835,14.0154144581936,15.2748209575945,16.3260849812101,20.246544001202
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Southern","GW","Wind",0.418077787977509,0.869168088430457,1.66314480233395,2.63714908041177,6.70604189517448,12.9799574253078,21.9683349716307,38.000358233606,59.2811789940022,74.5082786641878,88.6367456127475,91.8905261272171,90.6585102760332,94.2949633860322,100.60664598311,106.038317257914,127.777902370295
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Southern","GW","Solar",0.541795472810505,1.08212423196892,1.95805400104271,2.89611943439932,7.06850153695232,13.3427188682687,22.183673708003,38.9577953379679,62.1469142907101,80.686589585775,100.752040527307,105.827420056158,108.021095011668,116.954775222079,127.575149412557,137.574197075816,169.393200598359
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Southern","GW","Geothermal",0.0827308121187242,0.142546120244822,0.215478923730645,0.321912453045173,0.62521654314632,0.864621103910593,0.294912375510748,0.121497864971205,0.136937397933554,0.140010710975079,0.185596355636385,0.174287516346657,0.0911789349057973,0.0907393667223464,0.0890156928949341,0.076398965617238,0.065102775011212
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Southern","GW","Rooftop_pv",0.168339090599607,0.567353532347289,1.5067981616838,5.11489462049796,12.1999175088222,23.135088025144,38.1204410395603,46.5426893240133,48.4247341206785,49.7480576572355,50.9741372257614,52.6172725814411,53.7568107725001,54.8454828879736,55.8869715396686,56.87402658559,57.8167752082072
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Western","GW","Oil w/o CCS",3.11308085126833,4.05967895093032,3.60174851811702,1.76740457359287,1.94233928886697,1.69244672890343,0.875870714282933,0.0575978900392142,0.100568202247166,0,0,0,0,0,0,0,0
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Western","GW","Gas w/o CCS",2.0522802714362,3.87245372265656,5.26982818097743,5.51335749500966,7.04759414268406,9.15232838646652,10.6278242776848,10.1388763432799,5.11425901228372,0,0,0,0,0,0,0,0
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Western","GW","Gas w/ CCS",NA,NA,NA,NA,NA,NA,NA,1.11429001864892e-08,5.86312468759258e-08,2.2902623210864e-07,8.6760555466415e-07,2.23874936759516e-06,6.09314078049602e-06,1.62766481294597e-05,4.3163384737727e-05,0.00018972099361956,0.0107668914184309
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Western","GW","Coal w/o CCS",0.106996896256547,0.145461727563246,0.156204263646392,0.0861523367075347,0.0434224973394057,0.032218857046323,0.00319760472414612,0,0,0,0,0,0,0,0,0,0.00392219854086868
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Western","GW","Coal w/ CCS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.12553114151615e-08,1.06045471926541e-07,6.16034849554218e-07,7.46113965589281e-05
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Western","GW","Biomass w/o CCS",0.0658634103102488,0.146553812846673,0.244887629739737,0.435728171187885,0.609623206086529,0.795050757362247,1.06301734414808,1.4529547425429,1.86927286075804,1.52547539591645,0.10267652770137,0,0,0,0,0,0
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Western","GW","Biomass w/ CCS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.58117707354338e-09,2.52874096473228e-08,1.25232127435519e-07,5.89502772280478e-07,0.000158416690575744
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Western","GW","Nuclear",0.00971217515856742,0.136388888645669,0.368630313446717,0.945125043035823,1.96433067832889,3.60542660528583,6.40604248215285,10.8159556357315,19.6284278054598,29.3084227780411,40.4187583783523,45.813174609273,48.650339862191,51.4283631112143,54.439715360086,58.1808272493182,75.5934833458911
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Western","GW","Wind",0.806386735133425,2.21319043585895,4.11947046842227,8.74335074340797,14.8968825663091,23.0151032058058,34.864137558855,54.6174325951011,91.8117297120324,128.061076892373,164.29248938741,180.708070473155,183.769445710629,187.320214955718,193.658881135021,204.24885114976,259.631607036129
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Western","GW","Solar",1.09816365901876,3.25367617390198,6.35612395138679,10.8871540280361,19.4271808271045,31.554793127582,50.0859398377582,84.2591144604708,153.217116573748,230.941433319751,320.875622642161,363.603249519175,388.051259989343,414.311181078634,438.92720630219,473.262001731991,610.557144123984
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Western","GW","Geothermal",0.173964428799186,0.422790004002475,0.642749133779885,1.00057528689325,1.40137990556893,1.34989391420918,0.167233567414919,0.31681675993551,0.356577315804738,0.343619285465718,0.275908062963835,0.151270505786499,0.0854150460122975,0.0814712639470197,0.0844837646540915,0.0767360759393984,0.0618123555937308
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Africa_Western","GW","Rooftop_pv",0.38275359075639,1.17590226476569,3.11865396995768,10.5028050805436,26.497790536258,54.8757867578685,100.019269098053,151.893171456732,177.670801834979,185.654808222198,190.904454698347,198.838619001558,203.202699147882,207.297863864206,211.167000525144,214.785767647806,218.186620542711
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Argentina","GW","Oil w/o CCS",0.313125988849898,0.941484503991317,0.283827185591314,0.296165614884618,0.0737692012707024,0,0,0,0,0,0,0,0,0,0,0,3.28990802441655e-05
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Argentina","GW","Gas w/o CCS",0.3225750918434,2.27871683944272,2.15761710412261,2.34185077186184,1.84264347895643,0,0,0,0,0,0,0,0,0,0,0,3.61182423551249e-05
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Argentina","GW","Gas w/ CCS",NA,NA,NA,NA,NA,NA,8.61705670400171e-09,2.05322092376333e-08,3.70463518180693e-08,9.54854373544198e-08,3.40143685267041e-07,1.19610706906952e-06,5.57763270994156e-06,3.16541928525684e-05,0.00024093662817347,0.00305847702664135,0.114126454161966
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Argentina","GW","Coal w/o CCS",0.0342547341128188,0.113579444847743,0.0808568249911933,0.0227858122645503,0,0,0,0,0,0,0,0.000177076355814543,0.000452245654739986,0.000544678653021397,0.0002880002781574,0.000155478733113012,4.68575134861684e-05
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Argentina","GW","Coal w/ CCS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.98326119834318e-08,4.20529712411513e-07,2.22642773516521e-06,1.06139332910888e-05,4.36371131754475e-05
"NDC_NoCCS_NonewNuc_land10p_CI_IPSL","Argentina","GW","Biomass w/o CCS",0,0.110321730668808,0.129843401762483,0.298733671328237,0.399168309599858,0.297661126084967,0.189417396143416,0.0255320602056109,0,0,0,0,0,0,0,0,0
