"scenario","region","Units","agg_tech","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"NDC_NoCCS_NonewNuc_land10p_hydro_CI_HADGEM","Africa_Eastern","billion 2010 USD","Oil w/o CCS",1.6673461972019,1.22696426532037,0.837144060227419,0.119004235707165,0.15306031612209,0.173514475229688,0,0,0.00772623276999154,0,0,0,0,0,0,0,4.15415856361466e-05
"NDC_NoCCS_NonewNuc_land10p_hydro_CI_HADGEM","Africa_Eastern","billion 2010 USD","Gas w/o CCS",0.0828075044638096,0.100533548862601,0.123815326056659,0.152464404023152,0.202310690417971,0.268104058867577,0.288286801289097,0.207295876174586,0,0,0,0,0,0,0,0,0
"NDC_NoCCS_NonewNuc_land10p_hydro_CI_HADGEM","Africa_Eastern","billion 2010 USD","Gas w/ CCS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2428335634381e-08,7.8539228902253e-08,2.76678207044021e-07,8.54909329185164e-07,2.67554102950915e-06,1.31485410303248e-05,0.000885259029019185
"NDC_NoCCS_NonewNuc_land10p_hydro_CI_HADGEM","Africa_Eastern","billion 2010 USD","Coal w/o CCS",0.389655431453724,0.333806575685603,0.297311862247527,0.145320702336173,0.0916127434462687,0.0424396755360351,0,0.000119951175911695,0.000501276225421569,0.000203099703760035,0,0,0,0,0,0.0011050064124215,0.00870991041231775
"NDC_NoCCS_NonewNuc_land10p_hydro_CI_HADGEM","Africa_Eastern","billion 2010 USD","Coal w/ CCS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.78741157306235e-07,9.83742303959559e-07,0.000113258063230827
"NDC_NoCCS_NonewNuc_land10p_hydro_CI_HADGEM","Africa_Eastern","billion 2010 USD","Biomass w/o CCS",0.34649126488235,0.578888434504539,0.88455446000353,1.64293348539643,2.30181646314029,2.73952625670233,2.83700082820119,2.63582157670763,2.01098820522524,0.720702542106202,0.0337931428584301,0.0042203395004872,0,0,0,0,0
"NDC_NoCCS_NonewNuc_land10p_hydro_CI_HADGEM","Africa_Eastern","billion 2010 USD","Biomass w/ CCS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.25067045528684e-08,2.82976036610038e-07,1.56642674564789e-06,0.000393942742423434
"NDC_NoCCS_NonewNuc_land10p_hydro_CI_HADGEM","Africa_Eastern","billion 2010 USD","Nuclear",0.149920927755968,1.22573441324714,2.64017056147435,6.42225335572228,12.350129812899,20.7747083514594,30.7579050480159,43.0822398700149,58.4147717364118,73.8320650850041,90.4607882950861,98.3944332740631,101.027964298366,105.160212036442,109.047198370845,112.755030654555,146.690811842067
"NDC_NoCCS_NonewNuc_land10p_hydro_CI_HADGEM","Africa_Eastern","billion 2010 USD","Wind",4.83789454189856,7.86575741054209,11.7974883811241,18.8959802828534,29.9825997015535,42.834764817619,55.1855629513022,73.1933236695427,95.0829424699132,116.258689276237,137.654609520993,145.460505097231,146.926921152997,151.209304095809,155.647647549981,160.6361653078,206.601973444447
"NDC_NoCCS_NonewNuc_land10p_hydro_CI_HADGEM","Africa_Eastern","billion 2010 USD","Solar",6.03674708459289,10.3726698631091,16.2283679063155,27.0156123973208,44.9361169695367,67.5007155660841,90.8637544008141,126.219970188194,171.094052829235,218.361443611562,268.591296726848,291.595051589869,301.227507453857,316.878726280027,330.530768255078,345.456312653499,448.803262806068
"NDC_NoCCS_NonewNuc_land10p_hydro_CI_HADGEM","Africa_Eastern","billion 2010 USD","Geothermal",1.52746315728911,1.83212483509922,2.05441135776563,2.86834798266843,1.50584748439426,1.06449265693565,0.937306757962766,0.830721911014654,0.632449234004183,0.559118615757205,0.333244140220932,0.24829966044048,0.214208578220581,0.209011094579944,0.192983660808455,0.172406554469482,0.146930099446566
